Date,Year,Month,oni,Phase
1967-06-01,1967,6,-0.00,Neutral
1967-07-01,1967,7,0.05,Neutral
1967-08-01,1967,8,-0.16,Neutral
1967-09-01,1967,9,-0.30,Neutral
1967-10-01,1967,10,-0.38,Neutral
1967-11-01,1967,11,-0.34,Neutral
1967-12-01,1967,12,-0.44,Neutral
1968-01-01,1968,1,-0.64,La Niña
1968-02-01,1968,2,-0.74,La Niña
1968-03-01,1968,3,-0.62,La Niña
1968-04-01,1968,4,-0.44,Neutral
1968-05-01,1968,5,-0.04,Neutral
1968-06-01,1968,6,0.28,Neutral
1968-07-01,1968,7,0.58,El Niño
1968-08-01,1968,8,0.53,El Niño
1968-09-01,1968,9,0.45,Neutral
1968-10-01,1968,10,0.55,El Niño
1968-11-01,1968,11,0.73,El Niño
1968-12-01,1968,12,0.98,El Niño
1969-01-01,1969,1,1.13,El Niño
1969-02-01,1969,2,1.09,El Niño
1969-03-01,1969,3,0.95,El Niño
1969-04-01,1969,4,0.77,El Niño
1969-05-01,1969,5,0.61,El Niño
1969-06-01,1969,6,0.43,Neutral
1969-07-01,1969,7,0.36,Neutral
1969-08-01,1969,8,0.51,El Niño
1969-09-01,1969,9,0.79,El Niño
1969-10-01,1969,10,0.86,El Niño
1969-11-01,1969,11,0.81,El Niño
1969-12-01,1969,12,0.63,El Niño
1970-01-01,1970,1,0.51,El Niño
1970-02-01,1970,2,0.34,Neutral
1970-03-01,1970,3,0.29,Neutral
1970-04-01,1970,4,0.19,Neutral
1970-05-01,1970,5,0.04,Neutral
1970-06-01,1970,6,-0.30,Neutral
1970-07-01,1970,7,-0.63,La Niña
1970-08-01,1970,8,-0.76,La Niña
1970-09-01,1970,9,-0.77,La Niña
1970-10-01,1970,10,-0.74,La Niña
1970-11-01,1970,11,-0.86,La Niña
1970-12-01,1970,12,-1.15,La Niña
1971-01-01,1971,1,-1.36,La Niña
1971-02-01,1971,2,-1.38,La Niña
1971-03-01,1971,3,-1.12,La Niña
1971-04-01,1971,4,-0.85,La Niña
1971-05-01,1971,5,-0.73,La Niña
1971-06-01,1971,6,-0.74,La Niña
1971-07-01,1971,7,-0.80,La Niña
1971-08-01,1971,8,-0.77,La Niña
1971-09-01,1971,9,-0.82,La Niña
1971-10-01,1971,10,-0.85,La Niña
1971-11-01,1971,11,-0.96,La Niña
1971-12-01,1971,12,-0.90,La Niña
1972-01-01,1972,1,-0.71,La Niña
1972-02-01,1972,2,-0.35,Neutral
1972-03-01,1972,3,0.06,Neutral
1972-04-01,1972,4,0.41,Neutral
1972-05-01,1972,5,0.67,El Niño
1972-06-01,1972,6,0.92,El Niño
1972-07-01,1972,7,1.13,El Niño
1972-08-01,1972,8,1.37,El Niño
1972-09-01,1972,9,1.58,El Niño
1972-10-01,1972,10,1.84,El Niño
1972-11-01,1972,11,2.09,El Niño
1972-12-01,1972,12,2.12,El Niño
1973-01-01,1973,1,1.84,El Niño
1973-02-01,1973,2,1.25,El Niño
1973-03-01,1973,3,0.54,El Niño
1973-04-01,1973,4,-0.10,Neutral
1973-05-01,1973,5,-0.54,La Niña
1973-06-01,1973,6,-0.87,La Niña
1973-07-01,1973,7,-1.11,La Niña
1973-08-01,1973,8,-1.28,La Niña
1973-09-01,1973,9,-1.45,La Niña
1973-10-01,1973,10,-1.71,La Niña
1973-11-01,1973,11,-1.95,La Niña
1973-12-01,1973,12,-2.03,La Niña
1974-01-01,1974,1,-1.84,La Niña
1974-02-01,1974,2,-1.55,La Niña
1974-03-01,1974,3,-1.23,La Niña
1974-04-01,1974,4,-1.03,La Niña
1974-05-01,1974,5,-0.91,La Niña
1974-06-01,1974,6,-0.77,La Niña
1974-07-01,1974,7,-0.53,La Niña
1974-08-01,1974,8,-0.37,Neutral
1974-09-01,1974,9,-0.41,Neutral
1974-10-01,1974,10,-0.61,La Niña
1974-11-01,1974,11,-0.75,La Niña
1974-12-01,1974,12,-0.64,La Niña
1975-01-01,1975,1,-0.54,La Niña
1975-02-01,1975,2,-0.57,La Niña
1975-03-01,1975,3,-0.65,La Niña
1975-04-01,1975,4,-0.73,La Niña
1975-05-01,1975,5,-0.83,La Niña
1975-06-01,1975,6,-0.98,La Niña
1975-07-01,1975,7,-1.13,La Niña
1975-08-01,1975,8,-1.20,La Niña
1975-09-01,1975,9,-1.37,La Niña
1975-10-01,1975,10,-1.43,La Niña
1975-11-01,1975,11,-1.55,La Niña
1975-12-01,1975,12,-1.65,La Niña
1976-01-01,1976,1,-1.56,La Niña
1976-02-01,1976,2,-1.17,La Niña
1976-03-01,1976,3,-0.73,La Niña
1976-04-01,1976,4,-0.47,Neutral
1976-05-01,1976,5,-0.28,Neutral
1976-06-01,1976,6,-0.05,Neutral
1976-07-01,1976,7,0.18,Neutral
1976-08-01,1976,8,0.35,Neutral
1976-09-01,1976,9,0.62,El Niño
1976-10-01,1976,10,0.81,El Niño
1976-11-01,1976,11,0.86,El Niño
1976-12-01,1976,12,0.85,El Niño
1977-01-01,1977,1,0.71,El Niño
1977-02-01,1977,2,0.64,El Niño
1977-03-01,1977,3,0.34,Neutral
1977-04-01,1977,4,0.23,Neutral
1977-05-01,1977,5,0.21,Neutral
1977-06-01,1977,6,0.34,Neutral
1977-07-01,1977,7,0.35,Neutral
1977-08-01,1977,8,0.42,Neutral
1977-09-01,1977,9,0.57,El Niño
1977-10-01,1977,10,0.73,El Niño
1977-11-01,1977,11,0.81,El Niño
1977-12-01,1977,12,0.79,El Niño
1978-01-01,1978,1,0.69,El Niño
1978-02-01,1978,2,0.42,Neutral
1978-03-01,1978,3,0.06,Neutral
1978-04-01,1978,4,-0.18,Neutral
1978-05-01,1978,5,-0.31,Neutral
1978-06-01,1978,6,-0.29,Neutral
1978-07-01,1978,7,-0.36,Neutral
1978-08-01,1978,8,-0.42,Neutral
1978-09-01,1978,9,-0.42,Neutral
1978-10-01,1978,10,-0.29,Neutral
1978-11-01,1978,11,-0.08,Neutral
1978-12-01,1978,12,0.00,Neutral
1979-01-01,1979,1,0.03,Neutral
1979-02-01,1979,2,0.07,Neutral
1979-03-01,1979,3,0.20,Neutral
1979-04-01,1979,4,0.28,Neutral
1979-05-01,1979,5,0.23,Neutral
1979-06-01,1979,6,0.05,Neutral
1979-07-01,1979,7,0.04,Neutral
1979-08-01,1979,8,0.17,Neutral
1979-09-01,1979,9,0.33,Neutral
1979-10-01,1979,10,0.45,Neutral
1979-11-01,1979,11,0.52,El Niño
1979-12-01,1979,12,0.64,El Niño
1980-01-01,1980,1,0.59,El Niño
1980-02-01,1980,2,0.46,Neutral
1980-03-01,1980,3,0.34,Neutral
1980-04-01,1980,4,0.38,Neutral
1980-05-01,1980,5,0.48,Neutral
1980-06-01,1980,6,0.46,Neutral
1980-07-01,1980,7,0.25,Neutral
1980-08-01,1980,8,0.03,Neutral
1980-09-01,1980,9,-0.07,Neutral
1980-10-01,1980,10,0.02,Neutral
1980-11-01,1980,11,0.11,Neutral
1980-12-01,1980,12,-0.01,Neutral
1981-01-01,1981,1,-0.26,Neutral
1981-02-01,1981,2,-0.50,La Niña
1981-03-01,1981,3,-0.47,Neutral
1981-04-01,1981,4,-0.37,Neutral
1981-05-01,1981,5,-0.26,Neutral
1981-06-01,1981,6,-0.29,Neutral
1981-07-01,1981,7,-0.30,Neutral
1981-08-01,1981,8,-0.25,Neutral
1981-09-01,1981,9,-0.16,Neutral
1981-10-01,1981,10,-0.13,Neutral
1981-11-01,1981,11,-0.15,Neutral
1981-12-01,1981,12,-0.08,Neutral
1982-01-01,1982,1,-0.05,Neutral
1982-02-01,1982,2,0.07,Neutral
1982-03-01,1982,3,0.19,Neutral
1982-04-01,1982,4,0.47,Neutral
1982-05-01,1982,5,0.66,El Niño
1982-06-01,1982,6,0.72,El Niño
1982-07-01,1982,7,0.79,El Niño
