Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
6,481.7274555173288,944.3364200126395,376.044765654135,-0.1714161490003967,-0.46544776286452705,Nagarjuna Sagar,krishna
6,909.0797106927928,2379.1736163857113,799.7685955583564,-0.08088792846312187,-0.39191527270789517,Srisailam,krishna
6,1858.7083974222717,5066.124922595829,1765.0263241018288,-0.08493899890983037,-0.4877290852361673,Almatti,krishna
6,869.867366381831,2492.7264862575107,858.8387078876923,-0.09296103427528224,-0.4317271038086503,Tungabhadra,krishna
6,1253.1924648102804,1909.4867898627751,1551.1393423974469,-12.492990538428131,-1.8896686217950691,Mettur,cauvery
6,350.53106020629747,866.9428379709286,360.64352034117246,-0.032544933001356524,-0.2066392024880539,Krishnaraja Sagara,cauvery
6,58.08677835803509,36.9758875591832,30.128496088878315,,,Jayakwadi,godavari
6,692.1857576167373,1627.679094199255,854.9360323355032,-0.23890604687807548,-0.5800607387969092,Ujjani,krishna
6,3655.4407279566926,11739.122373883532,4332.306944663395,-0.10043647951460954,-0.5302719008622274,Sardar Sarovar,narmada
6,647.8589533685619,1501.5619111982526,778.6693660710737,-0.05769161855872862,-0.2397184051839496,Ukai,tapi
7,525.3141106137583,940.1155261023501,396.4226528647528,-0.1587722612258189,-0.4365601707785247,Nagarjuna Sagar,krishna
7,958.5928765066012,2405.879962844179,806.0196364154456,-0.10367813971277973,-0.4327428655572305,Srisailam,krishna
7,1881.2552934139953,5075.947263542107,1758.570126436847,-0.08915009579702327,-0.5141199652031307,Almatti,krishna
7,894.9475079050499,2473.6180536589836,843.764311722557,-0.07626856279687999,-0.4176933888075123,Tungabhadra,krishna
7,1383.259200820852,2103.3755978800496,1706.6997624602857,-15.126931559038837,-2.228254980382103,Mettur,cauvery
7,358.1255894428378,871.1339354076425,376.2110883578009,-0.04286336284783521,-0.2352493293524054,Krishnaraja Sagara,cauvery
7,67.56796294409843,43.071228383564296,34.60431754321981,,,Jayakwadi,godavari
7,726.9432108838894,1659.934700093058,891.2321117360633,-0.2884952123736271,-0.6248732483720316,Ujjani,krishna
7,3640.56606741758,11642.896863450998,4299.456928382019,-0.08274008940040067,-0.4894863116742989,Sardar Sarovar,narmada
7,649.8610815280214,1489.0560805557925,782.6996479046556,-0.04034867428333011,-0.22152869899261884,Ukai,tapi
8,530.083844667263,937.2542828851048,408.5613646994954,-0.15036364402937896,-0.4458021803997907,Nagarjuna Sagar,krishna
8,971.9796984852317,2389.128773858274,804.3214617415603,-0.0876804603849397,-0.46484392898343496,Srisailam,krishna
8,1841.5374396666994,5031.9176091573345,1684.294987372681,-0.07033708801463145,-0.5503601366927826,Almatti,krishna
8,914.354726479675,2439.9540155173186,831.6493523142044,-0.04717350530897302,-0.409394346109917,Tungabhadra,krishna
8,1388.8486003548594,2206.856587804494,1799.1172045035705,-16.544963269936524,-2.420905116159362,Mettur,cauvery
8,349.3187630355842,882.8065606174949,377.42541464515824,-0.07136790174392482,-0.31612366405376746,Krishnaraja Sagara,cauvery
8,64.92676196855652,45.71963672843415,36.55308913434523,,,Jayakwadi,godavari
8,726.4779495433286,1710.965069500472,913.860677649947,-0.36893582200526365,-0.7701090373046797,Ujjani,krishna
8,3653.4696558963315,11682.432466908742,4215.604541894995,-0.09064514061058171,-0.5515190745888978,Sardar Sarovar,narmada
8,664.687221927745,1511.4816767416835,800.536211731431,-0.0720724052445465,-0.28740566939341483,Ukai,tapi
9,533.5289956769029,957.1647949160484,406.4390607137174,-0.19983923237870616,-0.5507708864533867,Nagarjuna Sagar,krishna
9,969.3646778372333,2388.870702781059,789.5488269136772,-0.087635599340397,-0.5191107338670637,Srisailam,krishna
9,1795.8432974293644,5021.5569074766145,1624.201169483171,-0.06593398463984546,-0.5724034531594693,Almatti,krishna
9,914.0564468202774,2438.9759283824656,829.9467074241157,-0.04633412748489918,-0.4433605425784526,Tungabhadra,krishna
9,1447.5302188331832,2297.7441647868473,1898.6704525947673,-17.744499234662666,-2.6092989254289036,Mettur,cauvery
9,348.59085706998115,879.8587810870525,383.8149963537837,-0.0645055169009976,-0.321815696426361,Krishnaraja Sagara,cauvery
9,68.95268376834235,46.0523048526403,37.14797342786179,,,Jayakwadi,godavari
9,711.2821738726315,1719.4975214813476,922.3041853518498,-0.38262342317702536,-0.7879428203014134,Ujjani,krishna
9,3662.444375442369,11666.408674286382,4176.773898064957,-0.08602668416969861,-0.5626377128940518,Sardar Sarovar,narmada
9,679.6355371321847,1512.6500114991875,817.8677833308938,-0.07395243084522574,-0.28652686608565325,Ukai,tapi
10,534.2446098345162,969.7491848564601,402.65079317804464,-0.2304173500156026,-0.6433166661231948,Nagarjuna Sagar,krishna
10,975.1537345368613,2394.4282295719777,762.6130863554652,-0.09211542482361335,-0.601850670421995,Srisailam,krishna
10,1718.780101861626,5044.139124569165,1554.43894666231,-0.07554266885450223,-0.6508842122859142,Almatti,krishna
