Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
5,782.9559959787407,1058.849121123728,787.0638901526341,-5.334748701677663,-0.7526030137932578,Nagarjuna Sagar,krishna
5,995.8177213757806,2808.920656891904,1082.9374971171367,-0.5084455126418785,-0.17248994068609602,Srisailam,krishna
5,1838.302749815887,5357.828772510258,1981.1953736217904,-0.21347600079167295,-0.34359910313538244,Almatti,krishna
5,923.9183827617164,2652.7067707624597,981.9876856320121,-0.23775279069367827,-0.23528627932317425,Tungabhadra,krishna
5,363.7652566127103,496.06293069201894,313.7587226701047,0.07172144050835894,0.27026065342955774,Mettur,cauvery
5,352.3805391445299,913.1195252458856,368.1373036542164,-0.14527598557012156,-0.14610823408767515,Krishnaraja Sagara,cauvery
5,127.25756793262669,317.01871844046383,140.24557066236605,-0.09239244601899332,-0.28070255024212387,Jayakwadi,godavari
5,650.0699742325043,1498.1937538908153,741.5538650705178,-0.049631339555890275,-0.15149928811018643,Ujjani,krishna
5,4545.590365502056,13974.907950231875,4850.927731271999,-0.015644090881850703,-0.16835006106422257,Sardar Sarovar,narmada
5,567.9460233885956,1417.7184521812953,693.9394426377412,0.057283118329445104,0.06306797569042699,Ukai,tapi
6,851.5445850184899,1168.7104858893138,856.2949135351272,-6.7384971170473635,-0.9469855762270796,Nagarjuna Sagar,krishna
6,1089.1958731646937,2815.8778945127924,1122.6345420262166,-0.5141051382619088,-0.14802821027061475,Srisailam,krishna
6,1917.289490745348,5294.072258324804,1930.039739881299,-0.18476785001848417,-0.3712376719950057,Almatti,krishna
6,977.915702437337,2651.033534974477,988.7918517636078,-0.23619181975277104,-0.2664822588714004,Tungabhadra,krishna
6,404.7976621678137,451.95720694947954,315.1669128675479,0.24409095201177466,0.435732259972615,Mettur,cauvery
6,357.6855264020925,902.3573447816642,379.2196837943277,-0.11862661692202825,-0.15888722163294666,Krishnaraja Sagara,cauvery
6,131.25661833521488,317.403520352186,137.2901803845696,-0.09504597903408096,-0.38676926459058003,Jayakwadi,godavari
6,708.904323953614,1492.1106304201794,713.6441319290325,-0.041124997272764974,-0.1840980230768281,Ujjani,krishna
6,4738.461653783133,14042.703134325446,5122.062634648624,-0.02712441076729588,-0.18911996690300104,Sardar Sarovar,narmada
6,603.430296223709,1478.4958809025431,731.6311906256146,-0.025446043929863604,-0.015111839591677834,Ukai,tapi
7,907.8962454979738,1169.6304854842215,850.873921760553,-6.751035900282608,-0.9535211540622603,Nagarjuna Sagar,krishna
7,1146.4386834760262,2774.2369694744284,1074.6006170846174,-0.46751192828971244,-0.14599764260345416,Srisailam,krishna
7,1945.201981214101,5223.4989788489565,1891.3333625533478,-0.15339100354512536,-0.4087229667026233,Almatti,krishna
7,1024.5729121908098,2610.782032646544,977.0288751013695,-0.1989376584524032,-0.2782030392790562,Tungabhadra,krishna
7,467.6261864238017,477.2513402250995,347.40026322539785,0.16974327056557226,0.4460772318017385,Mettur,cauvery
7,362.35300375523656,886.1789054453909,381.64386627597156,-0.07919608650276477,-0.16993135504431844,Krishnaraja Sagara,cauvery
7,140.82075940156153,318.63464460336445,141.1461360268313,-0.10355724062336247,-0.49317110348360527,Jayakwadi,godavari
7,750.4581355993486,1468.0386176017294,696.0610920267537,-0.007803321112470618,-0.19385635684860913,Ujjani,krishna
7,4804.142431098075,13980.522469355936,5328.678155249836,-0.018402524486234917,-0.19530359047304713,Sardar Sarovar,narmada
7,602.0907430954176,1451.3121109383424,708.9024922788603,0.011723546418466513,-0.02355548246518091,Ukai,tapi
8,949.7165785273362,1193.2111756911474,912.6057579576895,-6.890271562645634,-1.0151236122358576,Nagarjuna Sagar,krishna
