Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Mettur,7,v2_ridge,-8.214,24.54
test,Mettur,7,v1_median,-9.491,26.18
test,Mettur,7,persist,-1.618,13.08
test,Mettur,7,clim,-12.574,29.78
test,Mettur,8,v2_ridge,-8.187,24.56
test,Mettur,8,v1_median,-8.034,24.36
test,Mettur,8,persist,-0.72,10.63
test,Mettur,8,clim,-12.313,29.57
test,Mettur,9,v2_ridge,-8.28,24.29
test,Mettur,9,v1_median,-6.86,22.35
test,Mettur,9,persist,-0.09,8.32
test,Mettur,9,clim,-12.775,29.59
test,Mettur,10,v2_ridge,-8.305,24.3
test,Mettur,10,v1_median,-6.889,22.38
test,Mettur,10,persist,-1.33,12.16
test,Mettur,10,clim,-13.182,30.0
test,Mettur,11,v2_ridge,-8.275,24.25
test,Mettur,11,v1_median,-7.718,23.51
test,Mettur,11,persist,-1.683,13.04
test,Mettur,11,clim,-13.326,30.14
test,Mettur,12,v2_ridge,-8.263,24.1
test,Mettur,12,v1_median,-8.16,23.96
test,Mettur,12,persist,-1.038,11.3
test,Mettur,12,clim,-13.575,30.23
test,Nagarjuna Sagar,1,v2_ridge,-2.481,12.33
test,Nagarjuna Sagar,1,v1_median,-22.567,32.1
test,Nagarjuna Sagar,1,persist,-1.127,9.64
test,Nagarjuna Sagar,1,clim,-139.394,78.34
test,Nagarjuna Sagar,2,v2_ridge,-2.769,12.7
test,Nagarjuna Sagar,2,v1_median,-39.58,41.68
test,Nagarjuna Sagar,2,persist,-2.292,11.87
test,Nagarjuna Sagar,2,clim,-141.011,77.96
test,Nagarjuna Sagar,3,v2_ridge,-2.786,12.86
test,Nagarjuna Sagar,3,v1_median,-50.786,47.56
test,Nagarjuna Sagar,3,persist,-1.737,10.93
test,Nagarjuna Sagar,3,clim,-135.728,77.28
test,Nagarjuna Sagar,4,v2_ridge,-3.327,13.85
test,Nagarjuna Sagar,4,v1_median,-65.513,54.31
test,Nagarjuna Sagar,4,persist,0.413,5.1
test,Nagarjuna Sagar,4,clim,-131.643,76.7
test,Nagarjuna Sagar,5,v2_ridge,-3.903,14.71
test,Nagarjuna Sagar,5,v1_median,-79.416,59.56
test,Nagarjuna Sagar,5,persist,-0.346,7.71
test,Nagarjuna Sagar,5,clim,-134.923,77.43
test,Nagarjuna Sagar,6,v2_ridge,-2.838,12.8
test,Nagarjuna Sagar,6,v1_median,-88.689,61.89
test,Nagarjuna Sagar,6,persist,-2.082,11.47
test,Nagarjuna Sagar,6,clim,-141.443,77.99
test,Nagarjuna Sagar,7,v2_ridge,-2.802,12.78
test,Nagarjuna Sagar,7,v1_median,-93.255,63.65
test,Nagarjuna Sagar,7,persist,-2.13,11.6
test,Nagarjuna Sagar,7,clim,-137.671,77.2
test,Nagarjuna Sagar,8,v2_ridge,-6.767,18.48
test,Nagarjuna Sagar,8,v1_median,-101.498,67.12
test,Nagarjuna Sagar,8,persist,-0.493,8.1
test,Nagarjuna Sagar,8,clim,-132.278,76.53
test,Nagarjuna Sagar,9,v2_ridge,-13.153,25.2
test,Nagarjuna Sagar,9,v1_median,-110.849,70.85
test,Nagarjuna Sagar,9,persist,0.541,4.54
test,Nagarjuna Sagar,9,clim,-130.559,76.84
test,Nagarjuna Sagar,10,v2_ridge,-18.864,30.24
test,Nagarjuna Sagar,10,v1_median,-108.367,70.94
test,Nagarjuna Sagar,10,persist,-1.503,10.73
test,Nagarjuna Sagar,10,clim,-130.818,77.89
test,Nagarjuna Sagar,11,v2_ridge,-33.706,40.97
test,Nagarjuna Sagar,11,v1_median,-93.937,67.77
test,Nagarjuna Sagar,11,persist,-2.017,12.08
test,Nagarjuna Sagar,11,clim,-123.378,77.56
test,Nagarjuna Sagar,12,v2_ridge,-41.922,46.59
test,Nagarjuna Sagar,12,v1_median,-76.685,62.68
test,Nagarjuna Sagar,12,persist,-1.113,10.34
test,Nagarjuna Sagar,12,clim,-117.716,77.48
test,Sardar Sarovar,1,v2_ridge,-3.853,74.33
test,Sardar Sarovar,1,v1_median,0.182,30.52
test,Sardar Sarovar,1,persist,0.676,19.19
test,Sardar Sarovar,1,clim,-0.121,35.72
test,Sardar Sarovar,2,v2_ridge,-3.881,73.27
test,Sardar Sarovar,2,v1_median,-1.359,50.95
test,Sardar Sarovar,2,persist,0.076,31.88
test,Sardar Sarovar,2,clim,-0.125,35.17
test,Sardar Sarovar,3,v2_ridge,-3.832,73.83
test,Sardar Sarovar,3,v1_median,-3.14,68.33
test,Sardar Sarovar,3,persist,-0.616,42.69
test,Sardar Sarovar,3,clim,-0.117,35.5
test,Sardar Sarovar,4,v2_ridge,-3.683,75.75
test,Sardar Sarovar,4,v1_median,-4.337,80.87
test,Sardar Sarovar,4,persist,-1.139,51.2
test,Sardar Sarovar,4,clim,-0.143,37.43
test,Sardar Sarovar,5,v2_ridge,-3.704,77.35
test,Sardar Sarovar,5,v1_median,-5.119,88.22
test,Sardar Sarovar,5,persist,-1.467,56.01
test,Sardar Sarovar,5,clim,-0.164,38.48
test,Sardar Sarovar,6,v2_ridge,-3.874,78.5
test,Sardar Sarovar,6,v1_median,-5.554,91.03
test,Sardar Sarovar,6,persist,-1.696,58.39
test,Sardar Sarovar,6,clim,-0.18,38.63
test,Sardar Sarovar,7,v2_ridge,-4.16,79.25
test,Sardar Sarovar,7,v1_median,-5.895,91.62
test,Sardar Sarovar,7,persist,-1.838,58.78
test,Sardar Sarovar,7,clim,-0.177,37.85
test,Sardar Sarovar,8,v2_ridge,-4.553,79.69
test,Sardar Sarovar,8,v1_median,-6.299,91.36
test,Sardar Sarovar,8,persist,-1.853,57.11
test,Sardar Sarovar,8,clim,-0.188,36.86
test,Sardar Sarovar,9,v2_ridge,-5.105,79.97
test,Sardar Sarovar,9,v1_median,-7.04,91.77
test,Sardar Sarovar,9,persist,-1.721,53.38
test,Sardar Sarovar,9,clim,-0.235,35.96
test,Sardar Sarovar,10,v2_ridge,-5.582,80.22
test,Sardar Sarovar,10,v1_median,-7.828,92.91
test,Sardar Sarovar,10,persist,-1.442,48.86
test,Sardar Sarovar,10,clim,-0.314,35.85
test,Sardar Sarovar,11,v2_ridge,-5.531,80.12
test,Sardar Sarovar,11,v1_median,-8.142,94.79
test,Sardar Sarovar,11,persist,-1.092,45.35
test,Sardar Sarovar,11,clim,-0.311,35.89
test,Sardar Sarovar,12,v2_ridge,-5.289,79.21
test,Sardar Sarovar,12,v1_median,-8.427,96.98
test,Sardar Sarovar,12,persist,-0.875,43.25
test,Sardar Sarovar,12,clim,-0.286,35.81
test,Srisailam,1,v2_ridge,-0.473,87.68
test,Srisailam,1,v1_median,0.938,17.97
test,Srisailam,1,persist,0.909,21.83
test,Srisailam,1,clim,0.659,42.19
test,Srisailam,2,v2_ridge,-1.235,111.65
test,Srisailam,2,v1_median,0.898,23.88
test,Srisailam,2,persist,0.782,34.87
test,Srisailam,2,clim,0.706,40.49
test,Srisailam,3,v2_ridge,-1.389,118.69
test,Srisailam,3,v1_median,0.858,28.89
test,Srisailam,3,persist,0.684,43.18
test,Srisailam,3,clim,0.742,38.98
test,Srisailam,4,v2_ridge,-1.46,122.26
test,Srisailam,4,v1_median,0.816,33.41
test,Srisailam,4,persist,0.585,50.24
test,Srisailam,4,clim,0.771,37.29
test,Srisailam,5,v2_ridge,-1.543,125.15
test,Srisailam,5,v1_median,0.78,36.81
test,Srisailam,5,persist,0.477,56.73
test,Srisailam,5,clim,0.793,35.66
test,Srisailam,6,v2_ridge,-1.637,127.63
test,Srisailam,6,v1_median,0.739,40.16
test,Srisailam,6,persist,0.362,62.79
test,Srisailam,6,clim,0.811,34.2
test,Srisailam,7,v2_ridge,-1.739,129.59
test,Srisailam,7,v1_median,0.687,43.82
test,Srisailam,7,persist,0.227,68.85
test,Srisailam,7,clim,0.824,32.89
test,Srisailam,8,v2_ridge,-1.822,130.6
test,Srisailam,8,v1_median,0.611,48.49
test,Srisailam,8,persist,0.074,74.82
test,Srisailam,8,clim,0.825,32.52
test,Srisailam,9,v2_ridge,-1.754,129.26
test,Srisailam,9,v1_median,0.453,57.62
test,Srisailam,9,persist,-0.108,82.0
test,Srisailam,9,clim,0.791,35.65
test,Srisailam,10,v2_ridge,-1.716,128.42
test,Srisailam,10,v1_median,0.314,64.54
test,Srisailam,10,persist,-0.295,88.68
test,Srisailam,10,clim,0.756,38.49
test,Srisailam,11,v2_ridge,-1.72,128.42
test,Srisailam,11,v1_median,0.177,70.64
test,Srisailam,11,persist,-0.503,95.47
test,Srisailam,11,clim,0.726,40.74
test,Srisailam,12,v2_ridge,-1.718,128.15
test,Srisailam,12,v1_median,0.029,76.6
test,Srisailam,12,persist,-0.741,102.55
test,Srisailam,12,clim,0.699,42.67
test,Tungabhadra,1,v2_ridge,-10.33,6.82
test,Tungabhadra,1,v1_median,-38.646,12.75
test,Tungabhadra,1,persist,-1.154,2.97
