Split,Reservoir,Week,NSE_gnn_ops,NSE_persist,NSE_clim,RMSE_gnn_ops_TMC
val,Nagarjuna Sagar,12,0.37,-0.976,-0.825,34.482
val,Sardar Sarovar,1,0.788,0.589,-0.972,24.511
val,Sardar Sarovar,2,0.518,-0.232,-1.041,36.42
val,Sardar Sarovar,3,0.27,-1.153,-1.067,44.564
val,Sardar Sarovar,4,0.113,-1.9,-1.047,49.3
val,Sardar Sarovar,5,0.133,-2.302,-0.977,49.278
val,Sardar Sarovar,6,0.322,-2.407,-0.875,43.734
val,Sardar Sarovar,7,0.562,-2.239,-0.814,35.12
val,Sardar Sarovar,8,0.722,-1.865,-0.723,28.379
val,Sardar Sarovar,9,0.797,-1.433,-0.612,24.89
val,Sardar Sarovar,10,0.849,-1.035,-0.517,21.93
val,Sardar Sarovar,11,0.878,-0.734,-0.492,19.819
val,Sardar Sarovar,12,0.911,-0.48,-0.497,16.914
val,Srisailam,1,0.944,0.671,-6.012,5.395
val,Srisailam,2,0.91,0.235,-6.389,6.713
val,Srisailam,3,0.89,-0.172,-6.604,7.405
val,Srisailam,4,0.885,-0.48,-6.731,7.575
val,Srisailam,5,0.919,-0.595,-6.793,6.352
val,Srisailam,6,0.937,-0.571,-6.82,5.629
val,Srisailam,7,0.945,-0.58,-6.816,5.258
val,Srisailam,8,0.952,-0.655,-6.796,4.934
val,Srisailam,9,0.963,-0.789,-6.773,4.37
val,Srisailam,10,0.967,-0.995,-6.744,4.136
val,Srisailam,11,0.965,-1.183,-6.723,4.231
val,Srisailam,12,0.962,-1.343,-6.717,4.425
val,Tungabhadra,1,0.54,-0.867,-1.143,13.897
val,Tungabhadra,2,-0.164,-1.954,-1.146,22.293
val,Tungabhadra,3,-0.182,-1.339,-1.187,22.787
val,Tungabhadra,4,0.792,0.439,-1.295,9.563
val,Tungabhadra,5,0.839,-0.246,-1.42,8.321
val,Tungabhadra,6,0.333,-1.644,-1.405,17.035
val,Tungabhadra,7,0.048,-1.618,-1.432,20.577
val,Tungabhadra,8,0.601,-0.282,-1.538,13.336
val,Tungabhadra,9,0.942,0.251,-1.695,5.005
val,Tungabhadra,10,0.678,-1.274,-1.683,11.846
val,Tungabhadra,11,0.36,-1.744,-1.707,16.864
val,Tungabhadra,12,0.535,-0.899,-1.804,14.419
val,Ujjani,1,0.85,0.717,-4.723,5.753
val,Ujjani,2,0.509,0.076,-5.29,10.011
val,Ujjani,3,0.168,-0.693,-5.963,12.505
val,Ujjani,4,-0.079,-1.487,-6.757,13.632
val,Ujjani,5,-0.262,-2.273,-7.546,14.197
val,Ujjani,6,-0.335,-2.795,-7.881,14.449
val,Ujjani,7,-0.297,-3.072,-7.994,14.263
val,Ujjani,8,-0.134,-3.104,-7.961,13.436
val,Ujjani,9,0.13,-2.933,-7.911,11.83
val,Ujjani,10,0.396,-2.64,-7.895,9.875
val,Ujjani,11,0.59,-2.27,-7.915,8.122
val,Ujjani,12,0.735,-1.831,-7.974,6.492
val,Ukai,1,0.711,0.391,-0.335,30.423
val,Ukai,2,0.298,-0.541,-0.329,47.832
val,Ukai,3,-0.005,-1.262,-0.321,58.598
val,Ukai,4,-0.065,-1.46,-0.295,62.5
val,Ukai,5,0.113,-1.217,-0.243,59.268
val,Ukai,6,0.416,-0.822,-0.141,49.291
val,Ukai,7,0.659,-0.569,-0.154,38.371
val,Ukai,8,0.749,-0.545,-0.184,33.559
val,Ukai,9,0.702,-0.715,-0.208,37.324
val,Ukai,10,0.666,-0.853,-0.163,40.134
val,Ukai,11,0.674,-0.89,-0.184,39.763
val,Ukai,12,0.699,-0.742,-0.191,38.181
