Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Ujjani,11,clim,-529.6,47.937
test,Ujjani,12,gnn,-320.21,37.532
test,Ujjani,12,persist,-5.264,5.241
test,Ujjani,12,clim,-523.261,47.949
test,Ukai,1,gnn,0.598,36.958
test,Ukai,1,persist,0.872,20.842
test,Ukai,1,clim,-0.16,62.8
test,Ukai,2,gnn,-0.34,67.795
test,Ukai,2,persist,0.637,35.291
test,Ukai,2,clim,-0.126,62.135
test,Ukai,3,gnn,-1.714,95.374
test,Ukai,3,persist,0.35,46.659
test,Ukai,3,clim,-0.078,60.094
test,Ukai,4,gnn,-3.26,115.458
test,Ukai,4,persist,0.059,54.259
test,Ukai,4,clim,-0.068,57.808
test,Ukai,5,gnn,-5.016,128.843
test,Ukai,5,persist,-0.264,59.055
test,Ukai,5,clim,-0.112,55.385
test,Ukai,6,gnn,-6.938,136.67
test,Ukai,6,persist,-0.664,62.572
test,Ukai,6,clim,-0.228,53.748
test,Ukai,7,gnn,-9.269,140.673
test,Ukai,7,persist,-1.188,64.936
test,Ukai,7,clim,-0.268,49.426
test,Ukai,8,gnn,-12.838,143.553
test,Ukai,8,persist,-1.937,66.133
test,Ukai,8,clim,-0.31,44.173
test,Ukai,9,gnn,-19.661,146.741
test,Ukai,9,persist,-3.181,66.013
test,Ukai,9,clim,-0.451,38.888
test,Ukai,10,gnn,-33.001,148.543
test,Ukai,10,persist,-5.623,65.557
test,Ukai,10,clim,-1.186,37.667
test,Ukai,11,gnn,-44.214,149.418
test,Ukai,11,persist,-7.786,65.865
test,Ukai,11,clim,-1.615,35.935
test,Ukai,12,gnn,-45.564,149.519
test,Ukai,12,persist,-8.209,66.493
test,Ukai,12,clim,-1.713,36.089
val,Almatti,1,gnn,-1.453,31.775
val,Almatti,1,persist,-0.679,26.289
val,Almatti,1,clim,-0.338,23.467
val,Almatti,2,gnn,-3.161,41.936
val,Almatti,2,persist,-1.371,31.652
val,Almatti,2,clim,-0.358,23.956
val,Almatti,3,gnn,-3.628,44.815
val,Almatti,3,persist,-1.056,29.869
val,Almatti,3,clim,-0.418,24.808
val,Almatti,4,gnn,-3.969,46.391
val,Almatti,4,persist,0.236,18.19
val,Almatti,4,clim,-0.483,25.344
val,Almatti,5,gnn,-4.588,48.848
val,Almatti,5,persist,-0.375,24.232
val,Almatti,5,clim,-0.527,25.533
val,Almatti,6,gnn,-5.097,51.592
val,Almatti,6,persist,-1.251,31.35
val,Almatti,6,clim,-0.514,25.711
val,Almatti,7,gnn,-5.078,52.185
val,Almatti,7,persist,-1.244,31.708
val,Almatti,7,clim,-0.565,26.479
val,Almatti,8,gnn,-5.001,51.789
val,Almatti,8,persist,-0.483,25.746
val,Almatti,8,clim,-0.636,27.037
val,Almatti,9,gnn,-5.061,51.444
val,Almatti,9,persist,-0.221,23.092
val,Almatti,9,clim,-0.693,27.194
val,Almatti,10,gnn,-4.924,51.349
val,Almatti,10,persist,-1.19,31.22
val,Almatti,10,clim,-0.682,27.364
val,Almatti,11,gnn,-4.697,50.985
val,Almatti,11,persist,-1.372,32.896
val,Almatti,11,clim,-0.733,28.123
val,Almatti,12,gnn,-4.557,50.37
val,Almatti,12,persist,-0.907,29.502
val,Almatti,12,clim,-0.803,28.687
val,Jayakwadi,1,gnn,-0.511,19.086
val,Jayakwadi,1,persist,0.031,15.283
val,Jayakwadi,1,clim,-0.175,16.831
val,Jayakwadi,2,gnn,-1.975,27.554
val,Jayakwadi,2,persist,-0.554,19.913
val,Jayakwadi,2,clim,-0.167,17.255
val,Jayakwadi,3,gnn,-2.459,30.419
val,Jayakwadi,3,persist,-0.493,19.983
val,Jayakwadi,3,clim,-0.204,17.95
val,Jayakwadi,4,gnn,-2.595,31.238
val,Jayakwadi,4,persist,-0.041,16.809
val,Jayakwadi,4,clim,-0.262,18.506
val,Jayakwadi,5,gnn,-3.027,32.502
val,Jayakwadi,5,persist,-0.424,19.325
val,Jayakwadi,5,clim,-0.312,18.551
val,Jayakwadi,6,gnn,-3.138,33.379
val,Jayakwadi,6,persist,-0.846,22.294
val,Jayakwadi,6,clim,-0.286,18.61
val,Jayakwadi,7,gnn,-3.104,33.223
val,Jayakwadi,7,persist,-0.982,23.091
val,Jayakwadi,7,clim,-0.336,18.954
val,Jayakwadi,8,gnn,-3.118,32.454
val,Jayakwadi,8,persist,-0.87,21.87
val,Jayakwadi,8,clim,-0.408,18.979
val,Jayakwadi,9,gnn,-3.24,31.519
val,Jayakwadi,9,persist,-0.961,21.438
val,Jayakwadi,9,clim,-0.481,18.63
val,Jayakwadi,10,gnn,-3.08,31.279
val,Jayakwadi,10,persist,-1.047,22.157
val,Jayakwadi,10,clim,-0.451,18.651
val,Jayakwadi,11,gnn,-2.984,30.862
val,Jayakwadi,11,persist,-1.074,22.265
val,Jayakwadi,11,clim,-0.513,19.016
val,Jayakwadi,12,gnn,-3.008,30.177
val,Jayakwadi,12,persist,-1.075,21.714
val,Jayakwadi,12,clim,-0.6,19.068
