Week,CRPS,RMSE,MAE,NSE,Event_NSE,Log_NSE,KGE,Reservoir,Basin
2,602.7695293264575,2190.632205827664,720.9069827277538,0.15589910871614499,0.11284038230079951,-0.4263748596768875,0.1330127934069043,Tungabhadra,krishna
2,288.6478551008101,479.1450305312181,291.01138148679934,0.10566727833212242,0.10566727833212242,0.09061720014906072,0.22680673424135545,Mettur,cauvery
2,261.34035090906656,833.5305142871708,323.3116253219593,0.043598227338017215,0.043598227338017215,0.11002571716143572,0.02923536146771699,Krishnaraja Sagara,cauvery
2,114.7184680249229,309.1849176234721,133.23598683123623,-0.03907160555883804,-0.8701671688987713,-0.9028583208242624,-0.009654046051500664,Jayakwadi,godavari
2,553.1535671232081,1442.795597307774,696.1806998361305,0.0265571897805692,-1.931558751524527,0.4991737776003583,-0.1057148661991818,Ujjani,krishna
2,4033.8273036087608,13671.570814043946,4079.9906519270203,0.02889587325152898,0.02889587325152898,0.44691345398246585,-0.09241120942089287,Sardar Sarovar,narmada
2,440.7540132266988,1132.8125668034284,566.143703348804,0.39867187276081906,0.22260519321220917,0.11430429396765474,0.3442246232066687,Ukai,tapi
3,696.9380547478094,994.8078441526652,742.3110610525109,-0.7361011999807794,-0.7361011999807794,-17.328664512490345,0.1963243346428858,Nagarjuna Sagar,krishna
3,1191.2332137155167,3267.0763639775687,1418.548737402218,-0.36310387027330693,-0.36100209059803157,-5.456902235293369,-0.0436638200730628,Srisailam,krishna
3,1411.0003716094152,4844.760012923517,1626.8593775483566,0.007802635188147278,-0.29086793666795674,-0.3870473636372036,-0.1633815494826425,Almatti,krishna
3,713.0011762725036,2350.486066381956,794.943129753567,0.028213672438831883,-0.02199499566351304,-0.4830390805691731,-0.04048189122588597,Tungabhadra,krishna
3,310.63347864005794,435.4699152907001,266.98684093970076,0.27022191221020253,0.27022191221020253,0.39763643993966424,0.42756043830611734,Mettur,cauvery
3,261.82259107696814,786.8165099518676,320.8157761287074,0.14828012475361518,0.14828012475361518,0.15142067363729383,0.0744199097469701,Krishnaraja Sagara,cauvery
3,110.18416381191749,297.20506240437396,128.26181752208882,0.03988936215102068,-0.6989866683645787,-0.5597260666037154,-0.07045713429449085,Jayakwadi,godavari
3,578.5343431788775,1468.8255749178602,761.0370799847752,-0.008884097546431935,-2.01815494416549,0.6687046508258162,-0.19483127445720316,Ujjani,krishna
3,4172.679329226499,13709.961492066252,4246.610290142125,0.024426409213484712,0.024426409213484712,0.41848049580406066,-0.12258558527130847,Sardar Sarovar,narmada
3,486.11107005310595,1237.701382751436,586.6078720313532,0.28186374830641303,0.06949322898751575,0.03404372386002652,0.22911453174371932,Ukai,tapi
4,708.9146405991252,1024.3169575928564,740.8261398597442,-0.8978704133307489,-0.8978704133307489,-14.897555407281692,0.0904221250100441,Nagarjuna Sagar,krishna
4,1293.5929663906932,3545.787971556155,1500.7530595235062,-0.6050955193280865,-0.566298918215677,-5.504297821947437,-0.15101856635178001,Srisailam,krishna
4,1642.0618942580488,5177.185398387832,1819.7637035424796,-0.13302884541326687,-0.46397939203283256,-0.7226803700163165,-0.30416709352852345,Almatti,krishna
4,840.0442721839809,2539.454009693861,882.0631110052891,-0.1343214024983288,-0.19258180091078114,-0.4497730868796148,-0.19208244481756687,Tungabhadra,krishna
4,316.7931006518958,417.68094412529865,282.25962903945947,0.3325856764131776,0.3325856764131776,0.3828157862810301,0.4936527196685093,Mettur,cauvery
4,313.1306335055043,881.0594593880176,342.65219628486227,-0.06658590211183735,-0.06658590211183735,0.2977548537764385,-0.12636573580264376,Krishnaraja Sagara,cauvery
4,118.96144881902075,314.62296594527675,131.3057749887846,-0.07594412367426773,-0.9303864938340078,-0.8170372370789776,-0.22585093291551295,Jayakwadi,godavari
4,614.0985544123153,1540.6341700477299,819.2475340492963,-0.10994095611710075,-2.3289630396099374,0.4716747363348771,-0.2629272281289652,Ujjani,krishna
4,4289.811626695539,13679.120746325612,4534.930669900695,0.02808057752478288,0.02808057752478288,0.3574775350586996,-0.12025539695770382,Sardar Sarovar,narmada
4,542.3193616088015,1374.790294154399,661.2974055053584,0.1136478220385635,-0.14045244253028266,0.029167311573870647,0.12350383057702807,Ukai,tapi
5,762.2357130948305,1067.0040036177757,771.5273115010704,-1.1346281695589466,-1.1346281695589466,-16.122763761375246,0.041812052029286506,Nagarjuna Sagar,krishna
